id,category,topic,description_en,description_hi,advice_en,advice_hi
11,Common Diseases,Malaria,"Malaria symptoms include pain, fever, and weakness. It is especially common in children.",जागरूकता की कमी के कारण कई लोग Malaria से पीड़ित होते हैं। यह विशेष रूप से बच्चों में आम है।,Get regular checkups and use available government support to deal with Malaria.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Malaria के लिए।
12,Common Diseases,Malaria,Many individuals suffer from Malaria due to lack of awareness. It is especially common in urban slums.,Malaria एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बच्चों में आम है।,Get regular checkups and use available government support to deal with Malaria.,यदि Malaria हो तो तुरंत नजदीकी क्लिनिक जाएं।
13,Common Diseases,Fever,"Fever spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.",जागरूकता की कमी के कारण कई लोग Fever से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Fever.",उचित जागरूकता और समय पर देखभाल से Fever के प्रभाव को कम किया जा सकता है।
14,Common Diseases,Cold,Cold is a health issue that commonly affects people in rural areas. It is especially common in children.,"Cold गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।",Proper awareness and timely care help reduce the impact of Cold.,Cold से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
15,Common Diseases,Cold,Cold is a health issue that commonly affects people in rural areas. It is especially common in urban slums.,जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,"In case of Cold, immediately visit the nearest clinic.",यदि Cold हो तो तुरंत नजदीकी क्लिनिक जाएं।
16,Common Diseases,Diabetes,Many individuals suffer from Diabetes due to lack of awareness. It is especially common in pregnant women.,"Diabetes गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Get regular checkups and use available government support to deal with Diabetes.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Diabetes के लिए।"
17,Common Diseases,Malaria,Many individuals suffer from Malaria due to lack of awareness. It is especially common in elderly.,जागरूकता की कमी के कारण कई लोग Malaria से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,Get regular checkups and use available government support to deal with Malaria.,उचित जागरूकता और समय पर देखभाल से Malaria के प्रभाव को कम किया जा सकता है।
18,Common Diseases,Diabetes,"Diabetes symptoms include pain, fever, and weakness. It is especially common in rural communities.","Diabetes के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बच्चों में आम है।","To prevent Diabetes, maintain hygiene and consult a health worker.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Diabetes के लिए।
19,Common Diseases,Typhoid,Typhoid can cause serious problems if not treated in time. It is especially common in elderly.,जागरूकता की कमी के कारण कई लोग Typhoid से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"To prevent Typhoid, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Typhoid के लिए।"
20,Common Diseases,Fever,"Fever spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.",जागरूकता की कमी के कारण कई लोग Fever से पीड़ित होते हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।,"In case of Fever, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Fever के लिए।"
21,Common Diseases,Cold,"Cold spreads through unsafe water, poor hygiene, or insects. It is especially common in pregnant women.","Cold के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।",Proper awareness and timely care help reduce the impact of Cold.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Cold के लिए।
22,Common Diseases,Fever,Fever can cause serious problems if not treated in time. It is especially common in elderly.,यदि समय पर इलाज न किया जाए तो Fever गंभीर हो सकता है। यह विशेष रूप से बच्चों में आम है।,"To prevent Fever, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Fever के लिए।"
23,Common Diseases,Cold,Cold is a health issue that commonly affects people in rural areas. It is especially common in children.,यदि समय पर इलाज न किया जाए तो Cold गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"To prevent Cold, maintain hygiene and consult a health worker.",Cold से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
24,Common Diseases,Typhoid,"Typhoid spreads through unsafe water, poor hygiene, or insects. It is especially common in elderly.","Typhoid गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।",Get regular checkups and use available government support to deal with Typhoid.,उचित जागरूकता और समय पर देखभाल से Typhoid के प्रभाव को कम किया जा सकता है।
25,Common Diseases,Typhoid,Many individuals suffer from Typhoid due to lack of awareness. It is especially common in pregnant women.,Typhoid एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,Get regular checkups and use available government support to deal with Typhoid.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Typhoid के लिए।
26,Common Diseases,Fever,"Fever spreads through unsafe water, poor hygiene, or insects. It is especially common in urban slums.",जागरूकता की कमी के कारण कई लोग Fever से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Fever, immediately visit the nearest clinic.",Fever से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
27,Common Diseases,Malaria,Many individuals suffer from Malaria due to lack of awareness. It is especially common in urban slums.,"Malaria गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बुजुर्गों में आम है।",Get regular checkups and use available government support to deal with Malaria.,Malaria से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
28,Common Diseases,Fever,Many individuals suffer from Fever due to lack of awareness. It is especially common in pregnant women.,Fever एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,"To prevent Fever, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Fever के लिए।"
29,Common Diseases,Cold,Many individuals suffer from Cold due to lack of awareness. It is especially common in elderly.,"Cold गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बुजुर्गों में आम है।",Get regular checkups and use available government support to deal with Cold.,Cold से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
30,Common Diseases,Malaria,"Malaria symptoms include pain, fever, and weakness. It is especially common in rural communities.",Malaria एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,Proper awareness and timely care help reduce the impact of Malaria.,Malaria से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
31,Common Diseases,Diabetes,Diabetes is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,Diabetes एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Proper awareness and timely care help reduce the impact of Diabetes.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Diabetes के लिए।
32,Common Diseases,Typhoid,"Typhoid spreads through unsafe water, poor hygiene, or insects. It is especially common in pregnant women.",Typhoid एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,"To prevent Typhoid, maintain hygiene and consult a health worker.",यदि Typhoid हो तो तुरंत नजदीकी क्लिनिक जाएं।
33,Common Diseases,Diabetes,"Diabetes spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.",जागरूकता की कमी के कारण कई लोग Diabetes से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,Proper awareness and timely care help reduce the impact of Diabetes.,यदि Diabetes हो तो तुरंत नजदीकी क्लिनिक जाएं।
34,Common Diseases,Typhoid,Typhoid is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,Typhoid एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बच्चों में आम है।,"To prevent Typhoid, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Typhoid के लिए।"
35,Common Diseases,Fever,"Fever symptoms include pain, fever, and weakness. It is especially common in children.","Fever के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बच्चों में आम है।","Use clean water, proper diet, and follow medical advice to manage Fever.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Fever के लिए।
36,Common Diseases,Fever,"Fever spreads through unsafe water, poor hygiene, or insects. It is especially common in urban slums.",जागरूकता की कमी के कारण कई लोग Fever से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"Use clean water, proper diet, and follow medical advice to manage Fever.",Fever से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
37,Common Diseases,Malaria,Malaria can cause serious problems if not treated in time. It is especially common in children.,जागरूकता की कमी के कारण कई लोग Malaria से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"In case of Malaria, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Malaria के लिए।"
38,Common Diseases,Malaria,Many individuals suffer from Malaria due to lack of awareness. It is especially common in urban slums.,"Malaria गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।","To prevent Malaria, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Malaria के प्रभाव को कम किया जा सकता है।
39,Common Diseases,Cold,Many individuals suffer from Cold due to lack of awareness. It is especially common in children.,जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।,Get regular checkups and use available government support to deal with Cold.,Cold से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
40,Common Diseases,Malaria,"Malaria symptoms include pain, fever, and weakness. It is especially common in urban slums.",यदि समय पर इलाज न किया जाए तो Malaria गंभीर हो सकता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Get regular checkups and use available government support to deal with Malaria.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Malaria के लिए।"
41,Common Diseases,Typhoid,Typhoid can cause serious problems if not treated in time. It is especially common in rural communities.,"Typhoid के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।","In case of Typhoid, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Typhoid के लिए।"
42,Common Diseases,Malaria,"Malaria symptoms include pain, fever, and weakness. It is especially common in pregnant women.",Malaria एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,Get regular checkups and use available government support to deal with Malaria.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Malaria के लिए।"
43,Common Diseases,Cold,Cold can cause serious problems if not treated in time. It is especially common in rural communities.,"Cold के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बुजुर्गों में आम है।","In case of Cold, immediately visit the nearest clinic.",यदि Cold हो तो तुरंत नजदीकी क्लिनिक जाएं।
44,Common Diseases,Cold,Cold is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,Proper awareness and timely care help reduce the impact of Cold.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Cold के लिए।
45,Common Diseases,Diabetes,Many individuals suffer from Diabetes due to lack of awareness. It is especially common in rural communities.,"Diabetes के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बुजुर्गों में आम है।","To prevent Diabetes, maintain hygiene and consult a health worker.",यदि Diabetes हो तो तुरंत नजदीकी क्लिनिक जाएं।
46,Common Diseases,Typhoid,Typhoid can cause serious problems if not treated in time. It is especially common in pregnant women.,जागरूकता की कमी के कारण कई लोग Typhoid से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"In case of Typhoid, immediately visit the nearest clinic.",यदि Typhoid हो तो तुरंत नजदीकी क्लिनिक जाएं।
47,Common Diseases,Fever,"Fever symptoms include pain, fever, and weakness. It is especially common in rural communities.","Fever गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।","In case of Fever, immediately visit the nearest clinic.",Fever से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
48,Common Diseases,Malaria,Malaria can cause serious problems if not treated in time. It is especially common in elderly.,"Malaria के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।","To prevent Malaria, maintain hygiene and consult a health worker.",यदि Malaria हो तो तुरंत नजदीकी क्लिनिक जाएं।
49,Common Diseases,Cold,"Cold spreads through unsafe water, poor hygiene, or insects. It is especially common in elderly.","Cold के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बच्चों में आम है।","In case of Cold, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Cold के प्रभाव को कम किया जा सकता है।
50,Common Diseases,Cold,"Cold spreads through unsafe water, poor hygiene, or insects. It is especially common in pregnant women.",यदि समय पर इलाज न किया जाए तो Cold गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Cold.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Cold के लिए।
51,Common Diseases,Fever,"Fever symptoms include pain, fever, and weakness. It is especially common in children.",Fever एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Proper awareness and timely care help reduce the impact of Fever.,Fever से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
52,Common Diseases,Fever,Many individuals suffer from Fever due to lack of awareness. It is especially common in urban slums.,"Fever गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से शहरी झुग्गियों में आम है।",Proper awareness and timely care help reduce the impact of Fever.,यदि Fever हो तो तुरंत नजदीकी क्लिनिक जाएं।
53,Common Diseases,Typhoid,Typhoid is a health issue that commonly affects people in rural areas. It is especially common in elderly.,"Typhoid गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।","Use clean water, proper diet, and follow medical advice to manage Typhoid.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Typhoid के लिए।"
54,Common Diseases,Diabetes,Many individuals suffer from Diabetes due to lack of awareness. It is especially common in urban slums.,"Diabetes के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।","Use clean water, proper diet, and follow medical advice to manage Diabetes.",यदि Diabetes हो तो तुरंत नजदीकी क्लिनिक जाएं।
55,Common Diseases,Malaria,Malaria can cause serious problems if not treated in time. It is especially common in elderly.,Malaria एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"Use clean water, proper diet, and follow medical advice to manage Malaria.",यदि Malaria हो तो तुरंत नजदीकी क्लिनिक जाएं।
56,Common Diseases,Malaria,Malaria can cause serious problems if not treated in time. It is especially common in rural communities.,यदि समय पर इलाज न किया जाए तो Malaria गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Malaria, immediately visit the nearest clinic.",Malaria से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
57,Common Diseases,Cold,"Cold symptoms include pain, fever, and weakness. It is especially common in elderly.","Cold के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।","To prevent Cold, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Cold के प्रभाव को कम किया जा सकता है।
58,Common Diseases,Cold,Cold can cause serious problems if not treated in time. It is especially common in rural communities.,जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से बच्चों में आम है।,"In case of Cold, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Cold के लिए।"
59,Common Diseases,Typhoid,Typhoid is a health issue that commonly affects people in rural areas. It is especially common in children.,Typhoid एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से शहरी झुग्गियों में आम है।,Get regular checkups and use available government support to deal with Typhoid.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Typhoid के लिए।
60,Common Diseases,Typhoid,Many individuals suffer from Typhoid due to lack of awareness. It is especially common in rural communities.,"Typhoid के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Get regular checkups and use available government support to deal with Typhoid.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Typhoid के लिए।"
61,Common Diseases,Malaria,"Malaria spreads through unsafe water, poor hygiene, or insects. It is especially common in urban slums.","Malaria के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।","To prevent Malaria, maintain hygiene and consult a health worker.",यदि Malaria हो तो तुरंत नजदीकी क्लिनिक जाएं।
62,Common Diseases,Typhoid,"Typhoid spreads through unsafe water, poor hygiene, or insects. It is especially common in urban slums.",यदि समय पर इलाज न किया जाए तो Typhoid गंभीर हो सकता है। यह विशेष रूप से बच्चों में आम है।,Get regular checkups and use available government support to deal with Typhoid.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Typhoid के लिए।
63,Common Diseases,Typhoid,"Typhoid spreads through unsafe water, poor hygiene, or insects. It is especially common in pregnant women.",जागरूकता की कमी के कारण कई लोग Typhoid से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"To prevent Typhoid, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Typhoid के प्रभाव को कम किया जा सकता है।
64,Common Diseases,Cold,Cold can cause serious problems if not treated in time. It is especially common in pregnant women.,जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"To prevent Cold, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Cold के प्रभाव को कम किया जा सकता है।
65,Common Diseases,Cold,Many individuals suffer from Cold due to lack of awareness. It is especially common in pregnant women.,जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,"In case of Cold, immediately visit the nearest clinic.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Cold के लिए।
66,Common Diseases,Malaria,"Malaria symptoms include pain, fever, and weakness. It is especially common in rural communities.","Malaria गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।","To prevent Malaria, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Malaria के लिए।"
67,Common Diseases,Fever,"Fever symptoms include pain, fever, and weakness. It is especially common in children.","Fever गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से शहरी झुग्गियों में आम है।","Use clean water, proper diet, and follow medical advice to manage Fever.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Fever के लिए।
68,Common Diseases,Malaria,"Malaria symptoms include pain, fever, and weakness. It is especially common in rural communities.",Malaria एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से ग्रामीण समुदायों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Malaria.",Malaria से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
69,Common Diseases,Typhoid,"Typhoid symptoms include pain, fever, and weakness. It is especially common in urban slums.","Typhoid गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।","To prevent Typhoid, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Typhoid के प्रभाव को कम किया जा सकता है।
70,Common Diseases,Fever,"Fever symptoms include pain, fever, and weakness. It is especially common in urban slums.",Fever एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"To prevent Fever, maintain hygiene and consult a health worker.",यदि Fever हो तो तुरंत नजदीकी क्लिनिक जाएं।
71,Common Diseases,Malaria,Malaria can cause serious problems if not treated in time. It is especially common in pregnant women.,Malaria एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बच्चों में आम है।,"To prevent Malaria, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Malaria के लिए।"
72,Common Diseases,Cold,"Cold symptoms include pain, fever, and weakness. It is especially common in urban slums.",जागरूकता की कमी के कारण कई लोग Cold से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Cold, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Cold के प्रभाव को कम किया जा सकता है।
73,Common Diseases,Malaria,Many individuals suffer from Malaria due to lack of awareness. It is especially common in urban slums.,Malaria एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बच्चों में आम है।,"To prevent Malaria, maintain hygiene and consult a health worker.",यदि Malaria हो तो तुरंत नजदीकी क्लिनिक जाएं।
74,Common Diseases,Cold,"Cold spreads through unsafe water, poor hygiene, or insects. It is especially common in pregnant women.",यदि समय पर इलाज न किया जाए तो Cold गंभीर हो सकता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"In case of Cold, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Cold के लिए।"
75,Common Diseases,Fever,Fever can cause serious problems if not treated in time. It is especially common in urban slums.,जागरूकता की कमी के कारण कई लोग Fever से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"Use clean water, proper diet, and follow medical advice to manage Fever.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Fever के लिए।
76,Common Diseases,Fever,"Fever symptoms include pain, fever, and weakness. It is especially common in children.","Fever गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।","To prevent Fever, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Fever के लिए।"
